id,count
0,117.0
1,164.0
2,104.0
4,49.0
5,64.0
10,129.0
11,5.0
12,300.0
15,15.0
17,165.0
18,278.0
23,248.0
25,113.0
26,36.0
31,214.0
39,161.0
40,26.0
41,214.0
42,380.0
43,133.0
51,215.0
52,117.0
54,20.0
60,138.0
61,155.0
62,119.0
63,46.0
65,118.0
66,115.0
68,181.0
71,30.0
80,30.0
82,137.0
94,92.0
98,278.0
101,49.0
102,156.0
107,5.0
112,324.0
113,6.0
115,137.0
116,118.0
120,56.0
121,10.0
122,324.0
132,221.0
143,6.0
147,137.0
150,16.0
151,69.0
152,215.0
153,69.0
155,191.0
156,93.0
159,246.0
161,51.0
163,36.0
177,284.0
186,2.0
188,17.0
190,106.0
191,19.0
192,316.0
195,278.0
200,143.0
209,335.0
210,9.0
211,229.0
214,5.0
215,21.0
218,92.0
219,52.0
222,236.0
225,14.0
228,310.0
236,246.0
241,37.0
242,127.0
243,332.0
245,13.0
247,247.0
251,165.0
252,103.0
253,90.0
254,74.0
258,375.0
260,137.0
261,159.0
265,137.0
266,252.0
267,293.0
269,133.0
270,137.0
275,92.0
278,52.0
279,80.0
286,117.0
287,30.0
288,241.0
289,143.0
293,17.0
294,127.0
297,137.0
302,107.0
303,12.0
304,92.0
307,109.0
309,20.0
311,179.0
312,143.0
314,229.0
315,317.0
319,152.0
322,119.0
323,137.0
325,108.0
327,252.0
330,52.0
332,152.0
333,17.0
338,95.0
341,107.0
345,214.0
348,339.0
349,50.0
350,129.0
352,137.0
355,17.0
356,272.0
358,137.0
363,121.0
369,226.0
371,18.0
372,161.0
375,278.0
380,121.0
388,45.0
391,165.0
392,293.0
393,425.0
394,267.0
396,34.0
401,49.0
407,137.0
409,80.0
410,129.0
416,42.0
418,129.0
420,168.0
421,227.0
422,165.0
424,317.0
428,398.0
429,126.0
431,5.0
435,3.0
439,129.0
441,3.0
447,80.0
449,229.0
451,133.0
452,20.0
454,262.0
458,126.0
463,141.0
467,9.0
470,316.0
471,133.0
474,278.0
478,15.0
483,135.0
484,108.0
485,86.0
486,114.0
491,90.0
494,74.0
495,278.0
497,214.0
499,291.0
515,97.0
518,221.0
521,236.0
525,168.0
529,263.0
532,121.0
534,137.0
540,137.0
544,317.0
547,133.0
549,44.0
563,39.0
564,126.0
567,137.0
572,113.0
577,229.0
578,317.0
585,380.0
588,133.0
589,104.0
590,119.0
592,28.0
594,305.0
596,17.0
598,398.0
599,138.0
605,49.0
606,138.0
607,278.0
608,191.0
609,137.0
610,335.0
611,267.0
614,133.0
615,274.0
616,214.0
617,97.0
618,278.0
624,135.0
629,184.0
631,107.0
633,117.0
637,27.0
638,92.0
643,137.0
644,137.0
645,38.0
646,182.0
648,250.0
650,49.0
651,267.0
652,278.0
656,137.0
657,28.0
659,26.0
660,127.0
662,95.0
665,425.0
675,317.0
681,131.0
682,127.0
685,17.0
686,246.0
689,27.0
696,92.0
703,140.0
704,89.0
705,5.0
714,274.0
717,117.0
718,20.0
720,103.0
721,164.0
723,241.0
726,267.0
728,229.0
730,241.0
731,34.0
734,375.0
737,71.0
738,17.0
745,127.0
746,26.0
749,228.0
752,27.0
753,241.0
758,274.0
765,17.0
766,176.0
768,86.0
769,248.0
774,125.0
775,127.0
781,137.0
784,335.0
794,16.0
795,278.0
796,86.0
802,214.0
803,267.0
805,39.0
806,278.0
807,92.0
809,28.0
810,151.0
812,267.0
814,132.0
818,290.0
819,126.0
825,137.0
836,104.0
839,97.0
847,290.0
848,267.0
851,229.0
852,138.0
853,49.0
857,133.0
858,39.0
859,290.0
861,8.0
867,92.0
870,290.0
871,214.0
872,348.0
874,431.0
881,152.0
886,112.0
890,137.0
895,167.0
899,78.0
900,278.0
901,278.0
902,213.0
903,49.0
913,244.0
918,150.0
923,5.0
924,45.0
926,34.0
927,17.0
930,214.0
934,44.0
937,138.0
939,109.0
941,103.0
942,425.0
946,278.0
950,92.0
953,94.0
959,165.0
961,27.0
962,103.0
964,134.0
969,233.0
971,111.0
976,15.0
978,274.0
980,278.0
981,120.0
990,425.0
993,20.0
996,16.0
998,293.0
999,284.0
1006,111.0
1008,9.0
1013,19.0
1015,90.0
1016,113.0
1022,324.0
1026,213.0
1028,263.0
1031,37.0
1034,137.0
1037,213.0
1040,137.0
1042,17.0
1046,16.0
1048,92.0
1049,97.0
1050,137.0
1051,111.0
1052,213.0
1055,222.0
1060,92.0
1064,27.0
1066,15.0
1071,92.0
1073,17.0
1089,226.0
1091,104.0
1092,98.0
1093,274.0
1096,293.0
1097,221.0
1098,17.0
1099,39.0
1102,115.0
1107,117.0
1109,15.0
1111,46.0
1112,111.0
1114,278.0
1116,278.0
1117,113.0
1118,24.0
1122,125.0
1124,152.0
1127,137.0
1133,109.0
1134,45.0
1135,5.0
1139,278.0
1143,137.0
1150,124.0
1151,111.0
1153,278.0
1155,34.0
1162,30.0
1163,229.0
1166,20.0
1171,68.0
1172,14.0
1173,244.0
1174,85.0
1177,75.0
1178,213.0
1184,241.0
1185,94.0
1186,135.0
1187,226.0
1188,278.0
1191,112.0
1207,105.0
1213,45.0
1215,97.0
1223,257.0
1227,111.0
1236,137.0
1237,137.0
1238,17.0
1241,29.0
1248,17.0
1250,46.0
1251,97.0
1253,124.0
